r,g,b
0.023529412,0.8117647,0.7176471
0.0,0.50980395,0.41960785
0.24313726,0.5372549,0.4862745
0.007843138,0.8352941,0.7372549
0.0,0.8509804,0.74509805
0.003921569,0.8627451,0.75686276
0.003921569,0.8627451,0.75686276
0.003921569,0.85490197,0.77254903
0.16862746,0.8509804,0.80784315
0.5254902,0.91764706,0.91764706
0.40784314,0.6784314,0.69411767
0.19607843,0.47058824,0.49803922
0.25490198,0.32156864,0.38431373
0.20392157,0.23137255,0.27058825
0.21960784,0.24705882,0.28627452
0.21568628,0.24313726,0.28235295
0.21960784,0.24705882,0.28627452
0.21960784,0.24705882,0.28627452
0.22745098,0.2509804,0.29803923
0.21568628,0.23921569,0.28627452
0.22352941,0.24705882,0.29411766
0.21960784,0.2509804,0.29411766
0.22745098,0.25882354,0.3019608
0.23529412,0.27058825,0.3137255
0.34901962,0.41960785,0.4509804
0.3764706,0.5882353,0.5921569
0.1764706,0.65882355,0.6117647
0.015686275,0.7254902,0.65882355
0.007843138,0.74509805,0.6666667
0.02745098,0.77254903,0.7019608
0.011764706,0.78039217,0.69411767
0.015686275,0.7058824,0.61960787
0.03137255,0.8,0.7254902
0.0,0.52156866,0.44313726
0.22352941,0.5137255,0.47843137
0.011764706,0.8392157,0.7411765
0.007843138,0.8627451,0.76862746
0.0,0.85882354,0.7607843
0.015686275,0.85882354,0.78431374
0.23137255,0.84705883,0.80784315
0.57254905,0.9411765,0.9372549
0.25882354,0.5372549,0.54509807
0.19215687,0.3764706,0.39215687
0.21960784,0.2509804,0.3019608
0.21176471,0.23921569,0.2784314
0.21568628,0.23137255,0.27450982
0.21176471,0.23921569,0.27058825
0.22745098,0.24313726,0.28627452
0.22352941,0.2509804,0.2901961
0.23921569,0.25490198,0.29803923
0.24313726,0.27058825,0.30980393
0.23529412,0.25882354,0.30588236
0.22352941,0.25882354,0.29411766
0.23137255,0.25882354,0.3019608
0.23921569,0.27058825,0.3137255
0.22352941,0.25882354,0.3019608
0.21176471,0.24705882,0.2901961
0.24313726,0.28627452,0.32156864
0.38039216,0.49803922,0.5294118
0.23529412,0.6431373,0.62352943
0.03137255,0.7254902,0.67058825
0.011764706,0.75686276,0.6862745
0.015686275,0.76862746,0.69411767
0.015686275,0.7058824,0.61960787
0.02745098,0.7882353,0.7254902
0.0,0.52156866,0.45490196
0.20392157,0.5019608,0.45490196
0.023529412,0.8392157,0.7490196
0.003921569,0.85882354,0.7647059
0.011764706,0.8627451,0.78431374
0.22745098,0.827451,0.7882353
0.59607846,0.9647059,0.9607843
0.25490198,0.50980395,0.5137255
0.1882353,0.32941177,0.34509805
0.20784314,0.24705882,0.28235295
0.21176471,0.23921569,0.2784314
0.21960784,0.24313726,0.2901961
0.22745098,0.24313726,0.28627452
0.21960784,0.23529412,0.2784314
0.22352941,0.23921569,0.27450982
0.22352941,0.23921569,0.28235295
0.22745098,0.24313726,0.28627452
0.22745098,0.24313726,0.28627452
0.21960784,0.24705882,0.28627452
0.22352941,0.25490198,0.29803923
0.23137255,0.2627451,0.30588236
0.24705882,0.2784314,0.32156864
0.23529412,0.26666668,0.30980393
0.21176471,0.23921569,0.28627452
0.21960784,0.24313726,0.2901961
0.2,0.23137255,0.26666668
0.3764706,0.4509804,0.4862745
