r,g,b
0.0,0.7372549,0.64705884
0.0,0.7058824,0.6156863
0.0,0.6666667,0.5764706
0.0,0.61960787,0.5372549
0.0,0.5803922,0.5019608
0.02745098,0.54509807,0.4862745
0.07058824,0.49019608,0.46666667
0.13725491,0.45490196,0.46666667
0.19215687,0.43137255,0.47843137
0.23137255,0.42352942,0.49411765
0.28235295,0.4392157,0.5294118
0.29411766,0.44705883,0.5372549
0.33333334,0.4745098,0.5686275
0.29803923,0.5176471,0.5764706
0.20784314,0.5568628,0.5882353
0.05490196,0.6392157,0.627451
0.003921569,0.6901961,0.627451
0.003921569,0.72156864,0.61960787
0.003921569,0.73333335,0.627451
0.003921569,0.7529412,0.6392157
0.007843138,0.7647059,0.65882355
0.007843138,0.7764706,0.67058825
0.007843138,0.79607844,0.69803923
0.007843138,0.8156863,0.7176471
0.007843138,0.827451,0.73333335
0.007843138,0.8392157,0.7490196
0.003921569,0.84705883,0.75686276
0.003921569,0.84705883,0.7647059
0.0,0.84313726,0.7607843
0.015686275,0.64705884,0.5686275
0.17254902,0.49803922,0.44705883
0.06666667,0.827451,0.7529412
0.19607843,0.47843137,0.43529412
0.16862746,0.4509804,0.40392157
0.1764706,0.43529412,0.4
0.18039216,0.4117647,0.39607844
0.24705882,0.4392157,0.4745098
0.24705882,0.39607844,0.4745098
0.26666668,0.3647059,0.4745098
0.27058825,0.34901962,0.46666667
0.27058825,0.34117648,0.4627451
0.2784314,0.34509805,0.47058824
0.27058825,0.34509805,0.4627451
0.2784314,0.34117648,0.47058824
0.27058825,0.34509805,0.4627451
0.3254902,0.3882353,0.5176471
0.36862746,0.46666667,0.5882353
0.39215687,0.48235294,0.6156863
0.34509805,0.54901963,0.63529414
0.20784314,0.5176471,0.54509807
0.17254902,0.54901963,0.5019608
0.18431373,0.53333336,0.4627451
0.18431373,0.5686275,0.4862745
0.19215687,0.5882353,0.5058824
0.1882353,0.6,0.50980395
0.19607843,0.62352943,0.5372549
0.19607843,0.6431373,0.5568628
0.18431373,0.64705884,0.5568628
0.18431373,0.65882355,0.5803922
0.1764706,0.67058825,0.5882353
0.18039216,0.6627451,0.5921569
0.039215688,0.5019608,0.42352942
0.14901961,0.38431373,0.36078432
0.21960784,0.6627451,0.5921569
0.003921569,0.5921569,0.50980395
0.007843138,0.5411765,0.46666667
0.007843138,0.42352942,0.3882353
0.23529412,0.34901962,0.42745098
0.29411766,0.36078432,0.47058824
0.29803923,0.3647059,0.48235294
0.2901961,0.35686275,0.4745098
0.2784314,0.34509805,0.4627451
0.2784314,0.34509805,0.4627451
0.28627452,0.34901962,0.47058824
0.28627452,0.34901962,0.47843137
0.28235295,0.34509805,0.4745098
0.28235295,0.34509805,0.4745098
0.28235295,0.34509805,0.4745098
0.2901961,0.3529412,0.48235294
0.29803923,0.3647059,0.48235294
0.3019608,0.3647059,0.49411765
0.3882353,0.4509804,0.5803922
0.21176471,0.32941177,0.42352942
0.02745098,0.46666667,0.4509804
0.003921569,0.52156866,0.45882353
0.003921569,0.5176471,0.44705883
0.007843138,0.53333336,0.45882353
0.003921569,0.53333336,0.45490196
0.007843138,0.54509807,0.46666667
0.007843138,0.5372549,0.4627451
0.003921569,0.5294118,0.45490196
0.003921569,0.5176471,0.44313726
0.007843138,0.5294118,0.45490196
0.003921569,0.41568628,0.34509805
0.039215688,0.3137255,0.2784314
0.015686275,0.49019608,0.42745098
0.011764706,0.8156863,0.7372549
0.03137255,0.64705884,0.5803922
0.18431373,0.37254903,0.4117647
0.27058825,0.32941177,0.41960785
0.28627452,0.34117648,0.45490196
0.2784314,0.3372549,0.4509804
0.2784314,0.3372549,0.45490196
0.28235295,0.34509805,0.4627451
0.28235295,0.34901962,0.47058824
0.28627452,0.34509805,0.47058824
0.28235295,0.34901962,0.46666667
0.28235295,0.34117648,0.47058824
0.28235295,0.34901962,0.46666667
0.28627452,0.34509805,0.4745098
0.28235295,0.34901962,0.46666667
0.2784314,0.34117648,0.47058824
0.2784314,0.34509805,0.4627451
0.28627452,0.34509805,0.46666667
0.33333334,0.4,0.5176471
0.52156866,0.61960787,0.7372549
0.12156863,0.827451,0.80784315
0.019607844,0.8745098,0.80784315
0.0,0.8784314,0.8
0.011764706,0.89411765,0.8117647
0.015686275,0.89411765,0.8156863
0.015686275,0.8980392,0.81960785
0.015686275,0.89411765,0.8156863
0.015686275,0.89411765,0.8156863
0.011764706,0.8901961,0.8117647
0.015686275,0.63529414,0.5568628
0.1882353,0.5019608,0.46666667
0.09019608,0.8745098,0.79607844
0.007843138,0.68235296,0.60784316
0.15686275,0.33333334,0.3764706
0.23921569,0.29411766,0.3764706
0.2627451,0.30980393,0.40392157
0.26666668,0.32156864,0.42745098
0.27450982,0.32941177,0.4392157
0.2784314,0.33333334,0.45490196
0.27450982,0.33333334,0.45490196
0.28235295,0.34509805,0.4627451
0.29411766,0.35686275,0.47843137
0.29803923,0.35686275,0.47843137
0.28627452,0.3529412,0.47058824
0.28235295,0.34117648,0.4627451
0.28627452,0.3529412,0.47058824
0.28235295,0.34901962,0.46666667
0.2784314,0.34509805,0.4627451
0.2784314,0.3372549,0.45882353
0.27450982,0.34117648,0.45882353
0.28235295,0.34117648,0.4627451
0.29411766,0.3647059,0.4745098
0.49019608,0.63529414,0.7411765
0.23529412,0.78039217,0.7921569
0.05490196,0.8745098,0.8235294
0.0,0.8980392,0.8235294
0.0,0.8980392,0.81960785
0.0,0.89411765,0.8156863
0.0,0.8901961,0.8117647
0.0,0.8901961,0.8117647
0.0,0.88235295,0.8039216
0.011764706,0.6509804,0.58431375
0.19607843,0.5176471,0.47843137
0.07058824,0.8627451,0.7882353
0.10980392,0.3764706,0.38039216
0.22745098,0.29803923,0.36862746
0.23921569,0.28627452,0.37254903
0.25882354,0.3137255,0.40392157
0.27058825,0.3254902,0.43137255
0.27450982,0.33333334,0.44705883
0.27450982,0.33333334,0.4509804
0.27450982,0.34117648,0.45882353
0.27450982,0.34117648,0.45882353
0.2784314,0.34117648,0.45882353
0.28627452,0.3529412,0.46666667
0.29411766,0.3529412,0.4745098
0.28235295,0.34901962,0.46666667
0.28235295,0.34117648,0.4627451
0.2784314,0.34509805,0.45882353
0.2784314,0.3372549,0.45882353
