r,g,b
0.15294118,0.6745098,0.5764706
0.16078432,0.6627451,0.57254905
0.16470589,0.6627451,0.5647059
0.16078432,0.654902,0.5686275
0.16078432,0.64705884,0.5529412
0.15294118,0.6392157,0.54901963
0.101960786,0.6,0.50980395
0.03529412,0.5568628,0.4627451
0.011764706,0.5568628,0.45490196
0.0,0.54509807,0.44313726
0.0,0.53333336,0.42745098
0.0,0.5294118,0.41960785
0.0,0.52156866,0.41568628
0.003921569,0.52156866,0.40784314
0.003921569,0.5019608,0.40392157
0.0,0.5176471,0.40392157
0.003921569,0.50980395,0.4
0.003921569,0.5019608,0.3882353
0.02745098,0.5254902,0.4117647
0.047058824,0.60784316,0.49019608
0.13333334,0.65882355,0.56078434
0.14509805,0.67058825,0.57254905
0.13333334,0.6784314,0.5764706
0.13333334,0.6901961,0.5882353
0.13725491,0.69803923,0.5921569
0.13333334,0.7019608,0.5921569
0.13725491,0.7019608,0.5921569
0.16862746,0.70980394,0.60784316
0.07058824,0.41568628,0.32941177
0.2627451,0.6627451,0.5803922
0.14509805,0.6901961,0.58431375
0.14117648,0.69411767,0.5921569
0.22745098,0.67058825,0.6
0.21568628,0.6627451,0.57254905
0.19607843,0.65882355,0.57254905
0.19215687,0.654902,0.56078434
0.19215687,0.64705884,0.5647059
0.18431373,0.6392157,0.54901963
0.18431373,0.6313726,0.54901963
0.1764706,0.6313726,0.5411765
0.12941177,0.5921569,0.5019608
0.08627451,0.56078434,0.47843137
0.039215688,0.5372549,0.4392157
0.023529412,0.52156866,0.42352942
0.015686275,0.5176471,0.41960785
0.011764706,0.50980395,0.4117647
0.023529412,0.49803922,0.40784314
0.039215688,0.5019608,0.41568628
0.043137256,0.5411765,0.44313726
0.101960786,0.5647059,0.47843137
0.16862746,0.6313726,0.5372549
0.17254902,0.64705884,0.5568628
0.16862746,0.6666667,0.5686275
0.1764706,0.67058825,0.5803922
0.16470589,0.6862745,0.5921569
0.15686275,0.69411767,0.59607846
0.15686275,0.69411767,0.59607846
0.16470589,0.69803923,0.6
0.16862746,0.69411767,0.6
0.19607843,0.70980394,0.6117647
0.07450981,0.39607844,0.31764707
0.29803923,0.6627451,0.5882353
0.1882353,0.68235296,0.59607846
0.16862746,0.6901961,0.5921569
0.35686275,0.5019608,0.47058824
0.36078432,0.5176471,0.4745098
0.34901962,0.50980395,0.45490196
0.36862746,0.5176471,0.4745098
0.35686275,0.5058824,0.4627451
0.34901962,0.49411765,0.45882353
0.34901962,0.47843137,0.4509804
0.3529412,0.47058824,0.4509804
0.3647059,0.47843137,0.45882353
0.35686275,0.4627451,0.44313726
0.3647059,0.46666667,0.4509804
0.35686275,0.45490196,0.44313726
0.33333334,0.43137255,0.41568628
0.3372549,0.43529412,0.41960785
0.34901962,0.44705883,0.43529412
0.35686275,0.44313726,0.43137255
0.34901962,0.4509804,0.4392157
0.34509805,0.47843137,0.4509804
0.3647059,0.48235294,0.4509804
0.36078432,0.5019608,0.47058824
0.3647059,0.50980395,0.47843137
0.35686275,0.5176471,0.47843137
0.3647059,0.5254902,0.49019608
0.3647059,0.5254902,0.49019608
0.3647059,0.5294118,0.49019608
0.3764706,0.5411765,0.5019608
0.3647059,0.5294118,0.49019608
0.3882353,0.54509807,0.50980395
0.21960784,0.3529412,0.3254902
0.40392157,0.54509807,0.5137255
0.36078432,0.5254902,0.4862745
0.3647059,0.52156866,0.4862745
0.10980392,0.5058824,0.43529412
0.11372549,0.5137255,0.43137255
0.10980392,0.5019608,0.43137255
0.10980392,0.49019608,0.41568628
0.16470589,0.47058824,0.41568628
0.23529412,0.41960785,0.38431373
0.2784314,0.34901962,0.34901962
0.3137255,0.33333334,0.34901962
0.3137255,0.3254902,0.34509805
0.32156864,0.33333334,0.3529412
0.31764707,0.32941177,0.34901962
0.31764707,0.32941177,0.34901962
0.32156864,0.34117648,0.35686275
0.3254902,0.3372549,0.35686275
0.3254902,0.34509805,0.36078432
0.32941177,0.34117648,0.36078432
0.3647059,0.36862746,0.3882353
0.29411766,0.42745098,0.39215687
0.18431373,0.4862745,0.41568628
0.13333334,0.5137255,0.44705883
0.12941177,0.50980395,0.43529412
0.1254902,0.5137255,0.44313726
0.11764706,0.5294118,0.4509804
0.10980392,0.5254902,0.4509804
0.10980392,0.53333336,0.45490196
0.10980392,0.5411765,0.45882353
0.11372549,0.54509807,0.47058824
0.12156863,0.5411765,0.4627451
0.17254902,0.42745098,0.38039216
0.21568628,0.48235294,0.43137255
0.13333334,0.5294118,0.45882353
0.11372549,0.5372549,0.45490196
0.09411765,0.7019608,0.59607846
0.105882354,0.69411767,0.5921569
0.12156863,0.6862745,0.5882353
0.20784314,0.6666667,0.5882353
0.34117648,0.56078434,0.5176471
0.29803923,0.37254903,0.37254903
0.3019608,0.3254902,0.34117648
0.30588236,0.31764707,0.3372549
0.30588236,0.31764707,0.3372549
0.30980393,0.32156864,0.34117648
0.3137255,0.3254902,0.34509805
0.3137255,0.3254902,0.34509805
0.31764707,0.32941177,0.34901962
0.31764707,0.32941177,0.34901962
0.31764707,0.32941177,0.34901962
0.31764707,0.3372549,0.3529412
0.3254902,0.3372549,0.35686275
0.42352942,0.43529412,0.4509804
0.45882353,0.5529412,0.5411765
0.25490198,0.63529414,0.56078434
0.16862746,0.6745098,0.5803922
0.14117648,0.6901961,0.5882353
0.12941177,0.69803923,0.5882353
0.12156863,0.69803923,0.5921569
0.11764706,0.7019608,0.6
0.11764706,0.70980394,0.6
0.10980392,0.7058824,0.59607846
0.14901961,0.72156864,0.61960787
0.050980393,0.39607844,0.3254902
0.29803923,0.6627451,0.6039216
0.11764706,0.69803923,0.5921569
0.09019608,0.70980394,0.60784316
0.09411765,0.7019608,0.6
0.12156863,0.69411767,0.5882353
0.21960784,0.6627451,0.5803922
0.2509804,0.41960785,0.39607844
0.29411766,0.34117648,0.34509805
0.29803923,0.3254902,0.33333334
0.30980393,0.32156864,0.3372549
0.3019608,0.3137255,0.32941177
0.3019608,0.3137255,0.32941177
0.30588236,0.3137255,0.33333334
0.30588236,0.32156864,0.33333334
0.3137255,0.31764707,0.3372549
0.30980393,0.3254902,0.3372549
0.3137255,0.3254902,0.34509805
0.3137255,0.32941177,0.34117648
0.32156864,0.33333334,0.3529412
0.3137255,0.33333334,0.34509805
0.31764707,0.32941177,0.34901962
0.33333334,0.3647059,0.37254903
0.42352942,0.5019608,0.5058824
0.32156864,0.61960787,0.5568628
0.17254902,0.6745098,0.5764706
0.1254902,0.69411767,0.58431375
0.11372549,0.69803923,0.5882353
0.11372549,0.7019608,0.59607846
0.10980392,0.70980394,0.59607846
0.10980392,0.70980394,0.6
0.14901961,0.73333335,0.627451
0.039215688,0.39607844,0.32941177
0.27450982,0.67058825,0.5921569
0.101960786,0.7019608,0.6
0.078431375,0.7176471,0.6039216
0.11372549,0.7137255,0.60784316
0.18039216,0.65882355,0.5686275
0.22352941,0.40392157,0.3764706
0.28627452,0.3254902,0.3372549
0.30588236,0.3137255,0.33333334
0.3019608,0.3137255,0.32941177
0.3019608,0.3137255,0.32941177
0.29803923,0.30980393,0.3254902
0.29803923,0.30980393,0.32941177
0.3019608,0.3137255,0.3254902
0.29803923,0.3137255,0.32941177
0.30588236,0.3137255,0.33333334
0.30980393,0.32156864,0.3372549
0.30588236,0.31764707,0.3372549
0.3137255,0.32941177,0.34509805
0.32156864,0.33333334,0.3529412
0.3137255,0.32941177,0.34509805
0.31764707,0.33333334,0.34509805
0.3254902,0.34117648,0.35686275
0.33333334,0.34901962,0.36078432
0.3764706,0.4627451,0.45882353
0.3372549,0.6156863,0.5647059
0.18431373,0.6666667,0.5764706
0.1254902,0.69803923,0.5921569
0.11764706,0.7019608,0.5921569
0.10980392,0.7058824,0.5921569
0.10980392,0.70980394,0.6
0.14901961,0.7254902,0.62352943
0.050980393,0.4,0.3254902
0.27450982,0.6666667,0.5882353
0.101960786,0.7019608,0.59607846
0.07450981,0.7137255,0.6039216
0.10980392,0.6901961,0.5882353
0.18039216,0.41960785,0.38039216
0.29411766,0.32941177,0.34117648
0.30980393,0.32156864,0.3372549
0.3019608,0.3137255,0.33333334
0.3019608,0.31764707,0.32941177
0.3019608,0.3137255,0.32941177
0.3019608,0.3137255,0.32941177
0.3019608,0.3137255,0.3254902
0.3019608,0.30980393,0.32941177
0.29803923,0.3137255,0.3254902
0.30588236,0.3137255,0.33333334
0.30588236,0.32156864,0.33333334
0.30588236,0.3137255,0.33333334
0.30588236,0.31764707,0.33333334
0.3137255,0.32156864,0.34117648
0.3137255,0.3254902,0.34117648
0.3137255,0.32941177,0.34509805
0.31764707,0.32941177,0.34509805
0.32156864,0.3372549,0.3529412
0.3254902,0.34117648,0.35686275
0.37254903,0.4627451,0.45882353
0.3254902,0.6156863,0.56078434
0.19215687,0.6627451,0.5764706
0.12941177,0.69411767,0.5882353
0.11764706,0.69803923,0.5882353
0.12156863,0.7019608,0.5921569
0.15686275,0.7254902,0.61960787
0.07058824,0.40784314,0.33333334
0.2784314,0.67058825,0.5882353
0.105882354,0.7058824,0.6
0.07450981,0.72156864,0.60784316
0.09803922,0.49411765,0.41960785
0.28235295,0.33333334,0.34117648
0.3019608,0.30980393,0.32941177
0.3019608,0.31764707,0.32941177
0.3019608,0.3137255,0.33333334
0.3019608,0.3137255,0.32941177
0.3019608,0.30980393,0.32941177
0.29803923,0.30980393,0.3254902
0.29803923,0.30980393,0.3254902
0.3019608,0.30980393,0.32941177
0.29803923,0.30980393,0.3254902
0.3019608,0.30980393,0.32941177
0.3019608,0.3137255,0.32941177
0.30980393,0.31764707,0.3372549
0.3019608,0.31764707,0.32941177
0.30980393,0.31764707,0.3372549
0.30588236,0.32156864,0.33333334
0.30980393,0.32156864,0.34117648
0.3137255,0.32941177,0.34117648
0.31764707,0.32941177,0.34901962
0.3254902,0.34117648,0.35686275
0.3137255,0.33333334,0.34509805
0.4,0.5176471,0.5019608
0.29411766,0.627451,0.5647059
0.17254902,0.6784314,0.5803922
0.12941177,0.69803923,0.58431375
0.13333334,0.7019608,0.5882353
0.16470589,0.72156864,0.6117647
0.08235294,0.40784314,0.3372549
0.27058825,0.6627451,0.58431375
0.105882354,0.7058824,0.6
0.07058824,0.72156864,0.60784316
0.21176471,0.3647059,0.33333334
0.30980393,0.31764707,0.3372549
0.30588236,0.31764707,0.3372549
0.3019608,0.3137255,0.32941177
0.29803923,0.30980393,0.32941177
0.29803923,0.3137255,0.32941177
0.29803923,0.30980393,0.3254902
0.29803923,0.30980393,0.3254902
0.29803923,0.3137255,0.32941177
0.29803923,0.30588236,0.3254902
0.29411766,0.30980393,0.3254902
0.3019608,0.30980393,0.32941177
0.3019608,0.3137255,0.33333334
0.29803923,0.3137255,0.32941177
0.3019608,0.31764707,0.33333334
0.30588236,0.31764707,0.3372549
0.30980393,0.32156864,0.3372549
0.30588236,0.32156864,0.33333334
0.3137255,0.3254902,0.34117648
0.30980393,0.3254902,0.3372549
0.30980393,0.3254902,0.34117648
0.31764707,0.3372549,0.34901962
0.3137255,0.36078432,0.3647059
0.37254903,0.5764706,0.5372549
0.24313726,0.6509804,0.5686275
0.14509805,0.6901961,0.5803922
0.13725491,0.69411767,0.58431375
0.16862746,0.7137255,0.6039216
0.078431375,0.4,0.32941177
0.28235295,0.6666667,0.5882353
0.105882354,0.70980394,0.6
0.07450981,0.7254902,0.6117647
0.3137255,0.31764707,0.33333334
0.3019608,0.32156864,0.3372549
0.3019608,0.3137255,0.33333334
0.3019608,0.31764707,0.32941177
0.3019608,0.3137255,0.33333334
0.29803923,0.3137255,0.3254902
0.30588236,0.3137255,0.32941177
0.30588236,0.31764707,0.32941177
0.29803923,0.30980393,0.3254902
0.3019608,0.30980393,0.3254902
0.29803923,0.3137255,0.3254902
0.30980393,0.3137255,0.33333334
0.29803923,0.3137255,0.3254902
0.29411766,0.30588236,0.3254902
0.29803923,0.3137255,0.3254902
0.3019608,0.3137255,0.33333334
0.30588236,0.32156864,0.33333334
0.30980393,0.32156864,0.34117648
0.30588236,0.32156864,0.33333334
0.3137255,0.3254902,0.34509805
0.3137255,0.33333334,0.34509805
0.31764707,0.32941177,0.34901962
0.30588236,0.33333334,0.34509805
0.3372549,0.43529412,0.42352942
0.32941177,0.62352943,0.56078434
0.18039216,0.6745098,0.57254905
0.15686275,0.6901961,0.5882353
0.19607843,0.7137255,0.60784316
0.09411765,0.4,0.33333334
0.28235295,0.65882355,0.5803922
0.105882354,0.7058824,0.6039216
0.07450981,0.72156864,0.6039216
0.3137255,0.31764707,0.3372549
0.3019608,0.3137255,0.33333334
0.3019608,0.3137255,0.33333334
0.29803923,0.30980393,0.32941177
0.3019608,0.3137255,0.33333334
0.29803923,0.30980393,0.32941177
0.29803923,0.30980393,0.32941177
0.29803923,0.30980393,0.32941177
0.29411766,0.30588236,0.32156864
0.29803923,0.3137255,0.3254902
0.29411766,0.30588236,0.3254902
0.29803923,0.30980393,0.32941177
0.29411766,0.30588236,0.3254902
0.29803923,0.30980393,0.32941177
0.3019608,0.3137255,0.33333334
0.3019608,0.3137255,0.33333334
0.30588236,0.31764707,0.3372549
0.30980393,0.32156864,0.34117648
0.3137255,0.3254902,0.34509805
0.30980393,0.32156864,0.34117648
0.31764707,0.32941177,0.34901962
0.3254902,0.3372549,0.35686275
0.32156864,0.3372549,0.3529412
0.29803923,0.34901962,0.35686275
0.3764706,0.5686275,0.5372549
0.24705882,0.6431373,0.5647059
0.16862746,0.68235296,0.5803922
0.20784314,0.70980394,0.60784316
0.08235294,0.38431373,0.3137255
0.28627452,0.6627451,0.5882353
0.11372549,0.7058824,0.6
0.08235294,0.72156864,0.60784316
0.30980393,0.3137255,0.33333334
0.29803923,0.31764707,0.33333334
0.3019608,0.3137255,0.33333334
0.3019608,0.31764707,0.32941177
0.30980393,0.3137255,0.33333334
0.3019608,0.31764707,0.32941177
0.3019608,0.30980393,0.32941177
0.3019608,0.3137255,0.32941177
0.3019608,0.3137255,0.32941177
0.3019608,0.30980393,0.32941177
0.29803923,0.30980393,0.3254902
0.30980393,0.3137255,0.33333334
0.3019608,0.31764707,0.32941177
0.29803923,0.30980393,0.32941177
0.29803923,0.3137255,0.3254902
0.30980393,0.3137255,0.33333334
0.30588236,0.32156864,0.33333334
0.30588236,0.31764707,0.3372549
0.30980393,0.3254902,0.3372549
0.3137255,0.3254902,0.34509805
0.30588236,0.3254902,0.3372549
0.32156864,0.33333334,0.3529412
0.31764707,0.3372549,0.34901962
0.30588236,0.3372549,0.34509805
0.35686275,0.4745098,0.45882353
0.30980393,0.6156863,0.5568628
0.18431373,0.6784314,0.5803922
0.20392157,0.7058824,0.6039216
