r,g,b
0.011764706,0.43137255,0.28627452
0.03529412,0.25882354,0.16862746
0.13725491,0.46666667,0.37254903
0.015686275,0.5019608,0.36078432
0.015686275,0.5058824,0.35686275
0.015686275,0.49803922,0.3529412
0.007843138,0.49019608,0.34117648
0.011764706,0.4862745,0.34117648
0.015686275,0.49019608,0.34509805
0.015686275,0.4862745,0.3372549
0.015686275,0.4745098,0.3372549
0.03137255,0.47058824,0.3529412
0.05490196,0.43529412,0.32941177
0.09803922,0.39215687,0.3254902
0.12941177,0.3764706,0.30980393
0.11764706,0.36862746,0.28235295
0.105882354,0.36862746,0.3019608
0.06666667,0.3529412,0.27450982
0.047058824,0.34509805,0.2627451
0.047058824,0.36078432,0.27058825
0.050980393,0.3647059,0.27450982
0.039215688,0.37254903,0.28235295
0.03529412,0.3882353,0.2901961
0.015686275,0.39607844,0.29411766
0.011764706,0.41568628,0.30980393
0.015686275,0.4392157,0.3254902
0.007843138,0.44705883,0.32941177
0.003921569,0.45490196,0.33333334
0.003921569,0.47058824,0.34117648
0.003921569,0.47843137,0.34509805
0.0,0.4745098,0.34901962
0.003921569,0.47058824,0.34117648
0.007843138,0.42352942,0.2784314
0.03529412,0.26666668,0.17254902
0.11372549,0.4509804,0.36078432
0.0,0.49803922,0.34901962
0.0,0.49411765,0.34901962
0.0,0.4862745,0.3372549
0.0,0.48235294,0.34117648
0.003921569,0.4745098,0.33333334
0.039215688,0.45882353,0.33333334
0.1764706,0.47058824,0.39215687
0.42745098,0.5568628,0.5372549
0.6392157,0.6392157,0.654902
0.8117647,0.79607844,0.8
0.88235295,0.85882354,0.8666667
0.89411765,0.8784314,0.8745098
0.87058824,0.84705883,0.85490197
0.70980394,0.69411767,0.69803923
0.49803922,0.47843137,0.49411765
0.3882353,0.38039216,0.38431373
0.16470589,0.25882354,0.25882354
0.07058824,0.29803923,0.24313726
0.043137256,0.3254902,0.25882354
0.02745098,0.34509805,0.2627451
0.023529412,0.3647059,0.2784314
0.023529412,0.39215687,0.29803923
0.023529412,0.41960785,0.30980393
0.023529412,0.4392157,0.32941177
0.015686275,0.45490196,0.3372549
0.019607844,0.47058824,0.35686275
0.007843138,0.49411765,0.36078432
0.007843138,0.49803922,0.37254903
0.011764706,0.52156866,0.38039216
0.003921569,0.42352942,0.28627452
0.039215688,0.27058825,0.1882353
0.11764706,0.45882353,0.36078432
0.0,0.49803922,0.36078432
0.0,0.49803922,0.36078432
0.0,0.49411765,0.35686275
0.047058824,0.45882353,0.34901962
0.2627451,0.49411765,0.4392157
0.654902,0.72156864,0.7019608
0.8980392,0.8901961,0.88235295
0.8666667,0.84313726,0.84313726
0.8627451,0.8392157,0.8392157
0.8666667,0.83137256,0.8352941
0.8627451,0.8392157,0.8392157
0.8627451,0.8392157,0.8392157
0.8666667,0.84313726,0.84313726
0.8627451,0.8392157,0.8392157
0.8627451,0.8392157,0.8392157
0.8784314,0.85490197,0.8627451
0.8901961,0.8666667,0.8666667
0.45490196,0.4392157,0.44313726
0.1882353,0.2509804,0.26666668
0.101960786,0.26666668,0.2627451
0.05490196,0.3019608,0.27058825
0.03529412,0.34117648,0.28627452
0.02745098,0.37254903,0.3019608
0.02745098,0.40392157,0.31764707
0.02745098,0.42745098,0.33333334
0.019607844,0.4627451,0.3529412
0.015686275,0.48235294,0.3647059
0.007843138,0.49803922,0.37254903
0.007843138,0.5137255,0.39215687
0.007843138,0.4392157,0.30980393
0.043137256,0.27450982,0.19607843
0.10980392,0.4627451,0.37254903
0.0,0.50980395,0.36862746
0.015686275,0.5019608,0.3764706
0.105882354,0.44705883,0.3647059
0.5686275,0.69411767,0.6666667
0.8666667,0.8745098,0.8627451
0.8666667,0.84313726,0.8352941
0.87058824,0.8392157,0.8392157
0.8666667,0.84313726,0.8352941
0.87058824,0.8352941,0.8392157
0.87058824,0.84705883,0.84705883
0.8745098,0.8392157,0.8509804
0.8627451,0.8392157,0.8392157
0.87058824,0.8352941,0.84705883
0.85882354,0.8352941,0.8352941
0.87058824,0.8352941,0.84705883
0.8627451,0.8392157,0.8392157
0.88235295,0.84705883,0.8509804
0.8666667,0.84313726,0.84313726
0.89411765,0.87058824,0.8784314
0.39215687,0.40392157,0.40392157
0.12156863,0.20784314,0.21176471
0.078431375,0.27450982,0.2627451
0.039215688,0.32941177,0.28627452
0.03137255,0.3647059,0.30588236
0.02745098,0.40392157,0.3254902
0.02745098,0.42745098,0.34117648
0.019607844,0.4627451,0.36078432
0.015686275,0.48235294,0.37254903
0.011764706,0.5176471,0.39607844
0.003921569,0.42745098,0.29803923
0.047058824,0.2784314,0.20784314
0.101960786,0.4627451,0.37254903
0.011764706,0.5019608,0.38431373
0.11372549,0.45882353,0.3764706
0.7058824,0.8117647,0.78039217
0.8509804,0.85490197,0.84313726
0.8666667,0.8392157,0.8352941
0.87058824,0.8352941,0.8392157
0.8784314,0.84313726,0.84705883
0.8666667,0.8352941,0.8392157
0.85490197,0.83137256,0.83137256
0.8666667,0.83137256,0.8352941
0.8666667,0.84313726,0.84313726
0.87058824,0.8352941,0.8392157
0.85882354,0.8352941,0.8352941
0.87058824,0.8352941,0.8392157
0.85882354,0.8352941,0.8352941
0.85882354,0.8352941,0.8352941
0.85882354,0.8352941,0.8352941
0.8666667,0.83137256,0.8352941
0.87058824,0.84313726,0.84313726
0.8901961,0.8666667,0.8666667
0.60784316,0.6117647,0.6117647
0.14117648,0.21960784,0.22745098
0.08627451,0.2784314,0.27450982
0.043137256,0.32941177,0.29411766
0.03137255,0.3647059,0.3137255
0.02745098,0.4,0.3372549
0.02745098,0.43529412,0.34901962
0.019607844,0.46666667,0.3647059
0.019607844,0.5019608,0.3882353
0.007843138,0.42745098,0.29803923
0.05882353,0.2901961,0.21960784
0.10980392,0.45882353,0.38039216
0.09411765,0.4862745,0.3882353
0.7176471,0.8352941,0.79607844
0.84705883,0.85882354,0.84313726
0.8666667,0.84313726,0.8392157
0.8666667,0.84313726,0.8352941
0.8666667,0.8392157,0.8352941
0.8666667,0.8352941,0.8352941
0.85882354,0.8352941,0.8352941
0.8666667,0.8352941,0.8392157
0.8627451,0.8392157,0.8392157
0.8666667,0.8352941,0.84313726
0.8627451,0.8392157,0.8392157
0.8666667,0.8352941,0.84313726
0.8666667,0.8392157,0.8392157
0.8666667,0.83137256,0.84313726
0.8627451,0.8392157,0.8392157
0.87058824,0.8352941,0.8392157
0.8627451,0.8352941,0.8352941
0.8627451,0.8352941,0.8392157
0.8862745,0.85882354,0.8627451
0.8784314,0.85882354,0.85882354
0.6392157,0.6509804,0.6509804
0.15294118,0.23529412,0.24313726
0.101960786,0.2901961,0.28627452
0.039215688,0.32941177,0.2901961
0.023529412,0.36862746,0.32156864
0.023529412,0.4117647,0.33333334
0.023529412,0.44705883,0.35686275
0.015686275,0.49019608,0.38431373
0.007843138,0.41960785,0.29411766
0.05490196,0.27450982,0.21568628
0.14509805,0.44705883,0.38431373
0.59607846,0.79607844,0.7490196
0.84705883,0.85882354,0.84705883
0.8666667,0.84705883,0.8352941
0.8745098,0.8392157,0.8392157
0.8627451,0.83137256,0.83137256
0.8627451,0.83137256,0.83137256
0.85882354,0.83137256,0.83137256
0.8666667,0.8352941,0.8392157
0.8627451,0.8352941,0.8352941
0.87058824,0.8392157,0.84313726
0.8666667,0.8392157,0.84313726
0.8666667,0.8352941,0.8392157
0.8627451,0.8352941,0.8392157
0.8666667,0.8352941,0.84313726
0.8627451,0.8352941,0.8392157
0.87058824,0.8392157,0.84705883
0.8627451,0.8352941,0.8352941
0.87058824,0.8392157,0.84313726
0.8666667,0.8392157,0.84313726
0.87058824,0.8392157,0.84313726
0.87058824,0.8392157,0.84313726
0.8666667,0.84705883,0.8509804
0.57254905,0.5921569,0.59607846
0.13333334,0.23529412,0.24313726
0.07450981,0.30980393,0.29803923
0.019607844,0.34509805,0.30588236
0.019607844,0.38431373,0.31764707
0.02745098,0.41960785,0.34117648
0.023529412,0.4745098,0.38431373
0.011764706,0.41568628,0.3019608
0.06666667,0.27058825,0.22352941
0.4117647,0.6117647,0.5803922
0.84313726,0.8862745,0.8666667
0.8666667,0.84313726,0.8352941
0.8745098,0.8509804,0.8392157
0.87058824,0.8392157,0.8392157
0.8627451,0.83137256,0.83137256
0.8627451,0.8352941,0.83137256
0.8627451,0.8352941,0.8352941
0.8627451,0.8392157,0.83137256
0.8627451,0.8352941,0.8352941
0.8627451,0.8352941,0.8392157
0.8666667,0.8392157,0.84313726
0.8627451,0.8352941,0.8392157
0.8666667,0.8352941,0.84313726
0.8666667,0.8352941,0.84313726
0.87058824,0.8392157,0.84705883
0.8666667,0.8392157,0.84313726
0.8666667,0.8352941,0.84313726
0.8666667,0.8352941,0.8392157
0.87058824,0.8392157,0.84705883
0.85882354,0.83137256,0.83137256
0.8784314,0.84705883,0.8509804
0.8745098,0.84313726,0.8509804
0.8392157,0.8235294,0.827451
0.40784314,0.4392157,0.44313726
0.11372549,0.25490198,0.25882354
0.047058824,0.32941177,0.30588236
0.007843138,0.3647059,0.30588236
0.023529412,0.39215687,0.32941177
0.023529412,0.44705883,0.3647059
0.019607844,0.4117647,0.30980393
0.13725491,0.31764707,0.28627452
0.7921569,0.8666667,0.85882354
0.8627451,0.8392157,0.83137256
0.88235295,0.8509804,0.84313726
0.8666667,0.8352941,0.83137256
0.8627451,0.83137256,0.83137256
0.85882354,0.827451,0.827451
0.8627451,0.8352941,0.83137256
0.8666667,0.8352941,0.8352941
0.85882354,0.8352941,0.827451
0.8627451,0.83137256,0.8352941
0.8627451,0.8352941,0.8352941
0.8666667,0.8352941,0.84313726
0.8666667,0.8392157,0.8392157
0.8666667,0.8352941,0.84313726
0.85882354,0.8352941,0.8352941
0.8627451,0.8352941,0.8392157
0.87058824,0.84313726,0.84705883
0.8666667,0.8352941,0.84313726
0.8627451,0.8352941,0.8352941
0.85882354,0.83137256,0.8352941
0.8666667,0.8352941,0.8392157
0.8666667,0.8352941,0.8392157
0.8666667,0.8352941,0.84313726
0.8745098,0.84705883,0.84705883
0.74509805,0.7372549,0.7411765
0.18039216,0.23921569,0.24705882
0.101960786,0.32156864,0.3137255
0.015686275,0.35686275,0.30588236
0.007843138,0.37254903,0.32156864
0.023529412,0.42352942,0.35686275
0.023529412,0.4,0.3137255
0.3764706,0.5254902,0.50980395
0.8666667,0.8509804,0.85490197
0.88235295,0.8509804,0.84313726
0.8745098,0.84313726,0.8392157
0.8666667,0.8392157,0.8352941
0.87058824,0.8352941,0.8392157
0.8666667,0.8392157,0.8352941
0.8627451,0.83137256,0.83137256
0.8666667,0.83137256,0.8352941
0.8666667,0.8352941,0.8352941
0.85882354,0.83137256,0.8352941
0.8666667,0.8352941,0.8352941
0.8666667,0.8392157,0.84313726
0.8666667,0.8352941,0.8392157
0.8666667,0.8392157,0.84313726
0.8627451,0.8392157,0.8392157
0.8666667,0.8392157,0.84313726
0.8666667,0.8352941,0.8352941
0.8745098,0.84705883,0.8509804
0.8666667,0.8352941,0.8352941
0.8627451,0.8352941,0.8392157
0.8627451,0.83137256,0.8352941
0.85490197,0.827451,0.83137256
0.87058824,0.8392157,0.84313726
0.87058824,0.84313726,0.84313726
0.84705883,0.827451,0.83137256
0.43137255,0.4509804,0.45882353
0.105882354,0.24705882,0.2509804
0.043137256,0.3529412,0.3137255
0.003921569,0.37254903,0.31764707
0.019607844,0.4,0.34117648
0.015686275,0.40784314,0.32941177
0.654902,0.78431374,0.7607843
0.87058824,0.83137256,0.8352941
0.88235295,0.8509804,0.84313726
0.8745098,0.8392157,0.8392157
0.8627451,0.8352941,0.83137256
0.8666667,0.8352941,0.8352941
0.8666667,0.8392157,0.8352941
0.8627451,0.8352941,0.83137256
0.87058824,0.8392157,0.8392157
0.8627451,0.8352941,0.83137256
0.8666667,0.8352941,0.84313726
0.8627451,0.8392157,0.8392157
0.8627451,0.83137256,0.8392157
0.8627451,0.8392157,0.8392157
0.8666667,0.8352941,0.84313726
0.85882354,0.8352941,0.8352941
0.87058824,0.8392157,0.84705883
0.87058824,0.84705883,0.84705883
0.8666667,0.8352941,0.84313726
0.8666667,0.8392157,0.8392157
0.8666667,0.8352941,0.84313726
0.85882354,0.83137256,0.8352941
0.85882354,0.827451,0.83137256
0.85490197,0.8235294,0.827451
0.87058824,0.8392157,0.84313726
0.8666667,0.8352941,0.84705883
0.69803923,0.6901961,0.69411767
0.14117648,0.21176471,0.22352941
0.078431375,0.34509805,0.31764707
0.003921569,0.36078432,0.3137255
0.007843138,0.3882353,0.32941177
0.078431375,0.45882353,0.39215687
0.8156863,0.89411765,0.8745098
0.8784314,0.8392157,0.8352941
0.88235295,0.8509804,0.84313726
0.87058824,0.8392157,0.83137256
0.87058824,0.8352941,0.8392157
0.87058824,0.8352941,0.8392157
0.87058824,0.8352941,0.8392157
0.8666667,0.83137256,0.8352941
0.8666667,0.83137256,0.8352941
0.85490197,0.8235294,0.827451
0.8627451,0.8392157,0.8392157
0.8745098,0.8392157,0.84313726
0.8627451,0.8392157,0.8392157
0.85490197,0.83137256,0.83137256
0.85490197,0.83137256,0.83137256
0.85882354,0.8352941,0.8352941
0.85490197,0.83137256,0.83137256
0.8627451,0.8392157,0.8392157
0.87058824,0.84705883,0.84705883
0.8784314,0.84313726,0.84705883
0.8627451,0.8352941,0.8352941
0.85882354,0.827451,0.83137256
0.85882354,0.83137256,0.83137256
0.85490197,0.827451,0.827451
0.8666667,0.8352941,0.8392157
0.8666667,0.84313726,0.84313726
0.7647059,0.74509805,0.74509805
0.2509804,0.2901961,0.29411766
0.09803922,0.3137255,0.2901961
0.011764706,0.3647059,0.3254902
0.003921569,0.3647059,0.31764707
0.21960784,0.5568628,0.5137255
0.85882354,0.88235295,0.8666667
0.8784314,0.8392157,0.8352941
0.8784314,0.84705883,0.8352941
0.8745098,0.8392157,0.84313726
0.8627451,0.84313726,0.83137256
0.8627451,0.83137256,0.83137256
0.8666667,0.84313726,0.8352941
0.8666667,0.84313726,0.8352941
0.87058824,0.8392157,0.8392157
0.85882354,0.8352941,0.8352941
0.8666667,0.83137256,0.8352941
0.85882354,0.8352941,0.8352941
0.8627451,0.827451,0.8392157
0.85490197,0.83137256,0.83137256
0.8627451,0.827451,0.8392157
0.85882354,0.8352941,0.8352941
0.85882354,0.8235294,0.8352941
0.8627451,0.8392157,0.8392157
0.8745098,0.8392157,0.84313726
0.85882354,0.8352941,0.8352941
0.87058824,0.8392157,0.84705883
0.85490197,0.827451,0.83137256
0.85882354,0.827451,0.83137256
0.85882354,0.827451,0.83137256
0.85490197,0.827451,0.83137256
0.8745098,0.84313726,0.84313726
0.83137256,0.8117647,0.8117647
0.36078432,0.3647059,0.37254903
0.11372549,0.25882354,0.23921569
0.03137255,0.3529412,0.3137255
0.003921569,0.3529412,0.3019608
0.2901961,0.62352943,0.57254905
0.87058824,0.85490197,0.8509804
0.88235295,0.8509804,0.84313726
0.8745098,0.84313726,0.8352941
0.87058824,0.8392157,0.83137256
0.8745098,0.8392157,0.84313726
0.8745098,0.8392157,0.8352941
0.8745098,0.84313726,0.8352941
0.87058824,0.8392157,0.83137256
0.8666667,0.8352941,0.83137256
0.87058824,0.8392157,0.84313726
0.85882354,0.8352941,0.8352941
0.8509804,0.827451,0.827451
0.85490197,0.83137256,0.83137256
0.8509804,0.827451,0.827451
0.85490197,0.83137256,0.83137256
0.85882354,0.8352941,0.8352941
0.85490197,0.83137256,0.83137256
0.8627451,0.8392157,0.84705883
0.8627451,0.8392157,0.8392157
0.85490197,0.83137256,0.83137256
0.85882354,0.8352941,0.8352941
0.85490197,0.83137256,0.83137256
0.8509804,0.827451,0.827451
0.85490197,0.8235294,0.827451
0.85490197,0.8235294,0.8235294
0.85882354,0.8352941,0.8352941
0.85490197,0.8235294,0.827451
0.47058824,0.47058824,0.47058824
0.1254902,0.22352941,0.21176471
0.047058824,0.3529412,0.30980393
0.003921569,0.34901962,0.30980393
0.3254902,0.6392157,0.6039216
0.87058824,0.84705883,0.84705883
0.8862745,0.84705883,0.84313726
0.8745098,0.84313726,0.83137256
0.8745098,0.8392157,0.84313726
0.8627451,0.84313726,0.83137256
0.87058824,0.84313726,0.8392157
0.87058824,0.8392157,0.8352941
0.8745098,0.8392157,0.8352941
0.87058824,0.8392157,0.8392157
0.85882354,0.8352941,0.827451
0.87058824,0.8352941,0.8392157
0.8666667,0.84313726,0.84313726
0.8627451,0.827451,0.8392157
0.8509804,0.827451,0.827451
0.85882354,0.8235294,0.827451
0.85490197,0.83137256,0.83137256
0.8627451,0.827451,0.8392157
0.85882354,0.8352941,0.8352941
0.8666667,0.83137256,0.8352941
0.85882354,0.8352941,0.8352941
0.85882354,0.827451,0.83137256
0.85882354,0.83137256,0.83137256
0.85490197,0.8235294,0.827451
0.85490197,0.8235294,0.8235294
0.84705883,0.81960785,0.8235294
0.8627451,0.827451,0.8392157
0.85490197,0.83137256,0.83137256
0.50980395,0.5019608,0.5058824
0.11372549,0.19607843,0.1764706
0.05490196,0.34509805,0.30980393
0.0,0.34117648,0.29411766
0.3019608,0.62352943,0.5764706
0.8666667,0.8509804,0.84705883
0.88235295,0.8509804,0.84313726
0.88235295,0.84313726,0.8392157
0.8745098,0.84313726,0.8352941
0.87058824,0.8392157,0.83137256
0.87058824,0.8392157,0.83137256
0.8745098,0.84313726,0.8352941
0.8784314,0.84705883,0.8392157
0.8784314,0.84313726,0.8392157
0.8666667,0.83137256,0.8352941
0.85490197,0.83137256,0.83137256
0.85882354,0.8235294,0.827451
0.85490197,0.83137256,0.83137256
0.8627451,0.827451,0.83137256
0.8509804,0.827451,0.827451
0.85490197,0.83137256,0.83137256
0.8509804,0.827451,0.827451
0.85882354,0.8235294,0.827451
0.84705883,0.8235294,0.8235294
0.85882354,0.8235294,0.827451
0.8509804,0.827451,0.827451
0.85490197,0.8235294,0.827451
0.85490197,0.827451,0.827451
0.85490197,0.827451,0.827451
0.8509804,0.81960785,0.81960785
0.85490197,0.83137256,0.83137256
0.84705883,0.827451,0.827451
0.49803922,0.49411765,0.4862745
0.10980392,0.18431373,0.16862746
0.05882353,0.33333334,0.2901961
0.003921569,0.33333334,0.28235295
