r,g,b
0.043137256,0.12941177,0.12941177
0.05490196,0.08235294,0.11372549
0.1254902,0.15294118,0.1764706
0.0,0.41568628,0.34117648
0.0,0.40392157,0.31764707
0.0,0.38039216,0.30588236
0.0,0.36078432,0.2901961
0.0,0.33333334,0.27058825
0.0,0.3019608,0.2509804
0.007843138,0.27450982,0.23137255
0.023529412,0.22352941,0.20784314
0.30588236,0.40392157,0.42352942
0.5921569,0.6745098,0.7490196
0.80784315,0.85490197,0.9098039
0.85882354,0.8862745,0.9254902
0.84705883,0.8745098,0.90588236
0.8352941,0.8509804,0.8862745
0.83137256,0.85882354,0.88235295
0.8627451,0.88235295,0.90588236
0.87058824,0.8901961,0.9137255
0.8666667,0.8784314,0.8980392
0.5882353,0.6156863,0.627451
0.27450982,0.36078432,0.39215687
0.07450981,0.3019608,0.3019608
0.011764706,0.3529412,0.3019608
0.011764706,0.38431373,0.31764707
0.003921569,0.4,0.32941177
0.003921569,0.41960785,0.34117648
0.003921569,0.42745098,0.34509805
0.0,0.43137255,0.34901962
0.0,0.43529412,0.34901962
0.019607844,0.43529412,0.35686275
0.039215688,0.11764706,0.12156863
0.047058824,0.08235294,0.101960786
0.13333334,0.14901961,0.18431373
0.0,0.42352942,0.3372549
0.003921569,0.40784314,0.33333334
0.0,0.39607844,0.31764707
0.0,0.37254903,0.3019608
0.0,0.34117648,0.28235295
0.007843138,0.3019608,0.26666668
0.13333334,0.33333334,0.34509805
0.6431373,0.7372549,0.7921569
0.81960785,0.8745098,0.92156863
0.7882353,0.827451,0.8627451
0.7882353,0.8039216,0.84705883
0.77254903,0.8,0.83137256
0.7647059,0.7882353,0.8352941
0.7647059,0.8,0.8352941
0.76862746,0.7921569,0.8392157
0.75686276,0.7921569,0.827451
0.78431374,0.8,0.84313726
0.7921569,0.81960785,0.8509804
0.81960785,0.83137256,0.8627451
0.9019608,0.91764706,0.93333334
0.6313726,0.6392157,0.654902
0.23137255,0.33333334,0.34509805
0.07058824,0.34509805,0.32941177
0.011764706,0.40392157,0.34117648
0.003921569,0.41960785,0.34117648
0.0,0.43137255,0.35686275
0.003921569,0.44313726,0.35686275
0.0,0.4392157,0.36078432
0.011764706,0.4509804,0.37254903
0.03529412,0.12156863,0.12156863
0.05882353,0.08627451,0.11764706
0.1254902,0.15294118,0.18431373
0.0,0.43137255,0.3647059
0.0,0.41960785,0.3372549
0.0,0.40392157,0.33333334
0.0,0.38039216,0.31764707
0.007843138,0.32941177,0.29803923
0.26666668,0.4745098,0.49803922
0.76862746,0.85882354,0.92156863
0.78431374,0.8156863,0.85882354
0.76862746,0.8039216,0.8392157
0.7647059,0.8,0.8352941
0.75686276,0.7921569,0.827451
