r,g,b
0.12941177,0.14509805,0.14117648
0.12156863,0.13725491,0.13333334
0.12156863,0.13725491,0.13333334
0.12156863,0.13725491,0.13333334
0.12156863,0.13725491,0.13333334
0.1254902,0.14117648,0.13725491
0.13725491,0.15294118,0.14901961
0.14117648,0.14901961,0.14509805
0.14117648,0.14901961,0.14509805
0.13725491,0.15294118,0.14901961
0.13333334,0.14901961,0.15294118
0.12941177,0.14509805,0.14117648
0.13333334,0.14901961,0.14509805
0.13333334,0.14901961,0.14509805
0.13333334,0.14901961,0.14509805
0.1254902,0.14901961,0.14117648
0.12941177,0.14509805,0.14117648
0.12156863,0.14509805,0.13725491
0.1254902,0.14117648,0.13725491
0.11764706,0.14117648,0.1254902
0.1254902,0.14117648,0.13725491
0.11764706,0.14117648,0.12941177
0.12156863,0.13725491,0.12941177
0.12156863,0.14117648,0.12941177
0.12156863,0.14117648,0.12941177
0.12156863,0.13725491,0.12941177
0.12156863,0.14117648,0.1254902
0.12156863,0.13725491,0.13333334
0.1254902,0.14509805,0.12941177
0.1254902,0.14509805,0.12941177
0.12941177,0.14901961,0.13333334
0.13725491,0.15686275,0.14117648
0.13333334,0.14117648,0.13725491
0.12156863,0.14117648,0.1254902
0.11372549,0.12941177,0.1254902
0.10980392,0.13333334,0.1254902
0.11372549,0.12941177,0.13333334
0.11764706,0.14117648,0.12941177
0.13333334,0.14509805,0.13725491
0.13725491,0.15294118,0.14117648
0.14117648,0.16078432,0.14901961
0.14901961,0.16862746,0.16078432
0.13333334,0.15686275,0.14117648
0.11764706,0.13333334,0.12941177
0.1254902,0.14901961,0.13333334
0.1254902,0.14509805,0.12941177
0.12941177,0.14901961,0.13333334
0.11764706,0.14117648,0.13333334
0.1254902,0.14509805,0.12941177
0.11372549,0.12941177,0.1254902
0.10980392,0.13333334,0.11764706
0.11372549,0.13333334,0.11764706
0.10980392,0.13725491,0.10980392
0.11764706,0.13725491,0.12156863
0.11764706,0.13725491,0.12156863
0.11372549,0.13333334,0.11764706
0.11372549,0.13333334,0.11372549
0.10980392,0.13725491,0.11372549
0.10980392,0.12941177,0.11372549
0.11372549,0.13333334,0.10980392
0.12156863,0.12941177,0.11764706
0.11764706,0.13725491,0.11372549
0.13333334,0.14117648,0.12941177
0.13333334,0.15294118,0.12941177
0.14117648,0.16078432,0.14509805
0.101960786,0.1254902,0.11764706
0.09019608,0.1254902,0.105882354
0.08235294,0.11764706,0.105882354
0.08627451,0.12941177,0.105882354
0.10980392,0.14509805,0.13333334
0.19215687,0.22352941,0.2
0.22745098,0.25490198,0.22745098
0.22352941,0.2509804,0.22352941
0.21568628,0.24313726,0.21568628
0.16078432,0.1882353,0.16078432
0.10980392,0.13333334,0.11764706
0.13725491,0.17254902,0.16078432
0.18431373,0.21176471,0.18431373
0.16470589,0.19215687,0.16470589
0.14901961,0.17254902,0.15686275
0.15294118,0.1764706,0.16078432
0.12941177,0.15294118,0.13725491
0.12941177,0.15294118,0.13725491
0.13333334,0.15686275,0.14117648
0.12156863,0.14509805,0.12941177
0.12156863,0.14901961,0.12156863
0.12941177,0.14901961,0.1254902
0.1254902,0.14901961,0.1254902
0.1254902,0.15294118,0.1254902
0.13333334,0.15294118,0.12941177
0.13333334,0.15294118,0.12941177
0.12941177,0.14901961,0.1254902
0.13333334,0.15294118,0.12941177
0.13725491,0.15686275,0.13333334
0.14117648,0.16078432,0.13725491
0.14509805,0.16470589,0.14901961
0.13333334,0.2,0.16078432
0.0627451,0.14901961,0.101960786
0.0627451,0.14117648,0.105882354
0.050980393,0.14509805,0.09411765
0.05882353,0.14509805,0.105882354
0.0627451,0.14901961,0.101960786
0.14901961,0.22352941,0.18039216
0.1882353,0.2627451,0.21960784
0.1882353,0.2627451,0.21568628
0.18431373,0.2509804,0.21176471
0.1254902,0.19215687,0.14901961
0.09803922,0.15686275,0.12941177
0.1254902,0.19215687,0.15294118
0.15686275,0.21960784,0.18039216
0.13333334,0.19607843,0.15294118
0.12156863,0.18039216,0.15294118
0.12941177,0.19607843,0.15686275
0.105882354,0.16470589,0.13725491
0.101960786,0.16862746,0.12941177
0.105882354,0.16470589,0.13725491
0.09411765,0.16470589,0.11764706
0.09803922,0.16078432,0.12941177
0.101960786,0.16470589,0.1254902
0.105882354,0.16078432,0.12156863
0.105882354,0.16078432,0.1254902
0.105882354,0.16078432,0.1254902
0.11372549,0.16078432,0.1254902
0.10980392,0.16078432,0.12156863
0.11372549,0.15686275,0.1254902
0.11372549,0.16078432,0.12156863
0.11764706,0.15686275,0.1254902
0.11764706,0.16470589,0.1254902
0.050980393,0.45882353,0.32941177
0.003921569,0.2627451,0.14509805
0.05490196,0.26666668,0.1882353
0.003921569,0.3764706,0.23529412
0.003921569,0.37254903,0.21960784
0.003921569,0.37254903,0.21960784
0.007843138,0.4,0.2509804
0.019607844,0.44705883,0.30588236
0.023529412,0.45490196,0.3137255
0.02745098,0.45490196,0.30980393
0.007843138,0.39607844,0.25882354
0.003921569,0.38431373,0.23921569
0.007843138,0.41568628,0.27058825
0.011764706,0.42745098,0.28627452
0.007843138,0.38039216,0.24705882
0.007843138,0.39215687,0.2509804
0.007843138,0.40392157,0.2627451
0.007843138,0.37254903,0.23137255
0.003921569,0.3529412,0.21176471
0.007843138,0.35686275,0.22352941
0.003921569,0.35686275,0.21960784
0.003921569,0.34901962,0.21176471
0.003921569,0.3372549,0.20392157
0.007843138,0.34901962,0.20784314
0.007843138,0.3372549,0.2
0.007843138,0.3254902,0.19607843
0.007843138,0.31764707,0.19215687
0.007843138,0.29803923,0.17254902
0.007843138,0.30980393,0.1882353
0.007843138,0.29411766,0.17254902
0.007843138,0.2784314,0.15294118
0.007843138,0.25490198,0.15686275
0.11372549,0.6117647,0.45882353
0.0,0.34117648,0.20784314
0.16862746,0.39607844,0.3137255
0.011764706,0.5372549,0.36862746
0.007843138,0.53333336,0.36078432
0.007843138,0.5411765,0.36078432
0.011764706,0.54509807,0.36862746
0.02745098,0.57254905,0.4
0.03529412,0.58431375,0.41568628
0.03529412,0.58431375,0.41568628
0.019607844,0.5647059,0.39215687
0.015686275,0.5529412,0.38431373
0.015686275,0.5529412,0.38039216
0.03529412,0.58431375,0.41568628
0.019607844,0.5647059,0.39607844
0.011764706,0.54901963,0.3764706
0.015686275,0.5529412,0.37254903
0.011764706,0.54509807,0.3764706
0.007843138,0.5411765,0.3647059
0.011764706,0.5372549,0.36862746
0.011764706,0.5411765,0.36078432
0.007843138,0.5372549,0.3647059
0.011764706,0.53333336,0.36078432
0.011764706,0.5372549,0.3647059
0.007843138,0.53333336,0.36078432
0.003921569,0.5372549,0.35686275
0.007843138,0.5411765,0.3647059
0.003921569,0.53333336,0.35686275
0.015686275,0.5372549,0.36862746
0.003921569,0.53333336,0.35686275
0.011764706,0.5294118,0.36078432
0.011764706,0.5294118,0.35686275
0.08627451,0.60784316,0.4509804
0.0,0.35686275,0.22352941
0.1882353,0.41960785,0.3372549
0.003921569,0.53333336,0.36862746
0.0,0.5411765,0.36078432
0.0,0.5411765,0.35686275
0.0,0.5529412,0.37254903
0.003921569,0.57254905,0.39215687
0.007843138,0.5803922,0.40392157
0.003921569,0.5803922,0.4
0.0,0.5647059,0.3882353
0.0,0.56078434,0.38039216
0.003921569,0.5686275,0.38431373
0.007843138,0.58431375,0.40784314
0.0,0.57254905,0.4
0.0,0.56078434,0.3764706
0.003921569,0.56078434,0.3764706
0.0,0.5686275,0.39215687
0.0,0.5568628,0.38039216
0.0,0.5529412,0.3764706
0.0,0.5568628,0.37254903
0.0,0.5529412,0.37254903
0.0,0.54901963,0.36862746
0.0,0.54901963,0.36862746
0.003921569,0.5529412,0.36862746
0.003921569,0.5568628,0.3764706
0.0,0.5568628,0.3764706
0.0,0.5568628,0.37254903
0.0,0.5529412,0.36862746
0.0,0.5568628,0.37254903
0.0,0.5529412,0.36862746
0.0,0.5568628,0.36862746
0.078431375,0.60784316,0.44705883
0.0,0.35686275,0.21960784
0.1882353,0.41960785,0.3372549
0.003921569,0.5411765,0.37254903
0.0,0.54509807,0.3647059
0.0,0.54901963,0.36078432
0.003921569,0.5568628,0.3764706
0.003921569,0.5686275,0.39215687
0.007843138,0.5803922,0.4
0.0,0.5803922,0.39607844
0.0,0.5686275,0.38431373
0.003921569,0.56078434,0.38039216
0.0,0.57254905,0.3882353
0.003921569,0.5803922,0.40392157
0.0,0.5764706,0.4
0.0,0.56078434,0.3764706
0.0,0.5647059,0.3764706
0.003921569,0.5764706,0.4
0.0,0.5686275,0.3882353
0.0,0.5568628,0.38431373
0.0,0.56078434,0.37254903
0.0,0.5568628,0.3764706
0.0,0.5529412,0.37254903
0.0,0.5568628,0.37254903
0.0,0.5568628,0.37254903
0.0,0.56078434,0.37254903
0.003921569,0.56078434,0.38039216
0.0,0.56078434,0.37254903
0.003921569,0.56078434,0.3764706
0.003921569,0.56078434,0.37254903
0.0,0.5568628,0.37254903
0.0,0.56078434,0.3764706
0.06666667,0.6039216,0.44313726
0.0,0.34901962,0.20784314
0.2,0.44313726,0.34509805
0.003921569,0.54509807,0.3764706
0.0,0.54901963,0.37254903
0.0,0.5529412,0.36862746
0.007843138,0.56078434,0.38431373
0.003921569,0.5686275,0.39215687
0.003921569,0.5803922,0.4
0.0,0.5803922,0.39607844
0.0,0.5686275,0.38431373
0.003921569,0.56078434,0.38039216
0.003921569,0.57254905,0.3882353
0.007843138,0.5803922,0.4
0.0,0.5803922,0.4
0.0,0.5647059,0.38039216
0.003921569,0.5647059,0.3764706
0.003921569,0.5764706,0.39607844
0.0,0.5764706,0.39607844
0.003921569,0.56078434,0.38431373
0.0,0.5686275,0.38039216
0.003921569,0.56078434,0.38039216
0.0,0.5647059,0.37254903
0.003921569,0.56078434,0.3764706
0.0,0.56078434,0.3764706
0.0,0.5647059,0.3764706
0.0,0.56078434,0.3764706
0.0,0.56078434,0.37254903
0.0,0.5568628,0.37254903
0.0,0.5568628,0.37254903
0.0,0.5568628,0.37254903
0.0,0.56078434,0.3764706
0.05882353,0.60784316,0.44313726
0.0,0.34509805,0.20392157
0.1882353,0.4392157,0.33333334
0.0,0.54509807,0.3764706
0.0,0.54901963,0.37254903
0.003921569,0.5568628,0.3764706
0.003921569,0.5568628,0.38039216
0.003921569,0.57254905,0.39607844
0.003921569,0.5803922,0.40392157
0.0,0.57254905,0.39215687
0.0,0.5647059,0.38039216
0.003921569,0.56078434,0.38039216
0.003921569,0.57254905,0.3882353
0.003921569,0.58431375,0.4
0.0,0.5764706,0.4
0.0,0.56078434,0.3764706
0.003921569,0.5568628,0.3764706
0.007843138,0.57254905,0.39215687
0.0,0.5803922,0.40392157
0.0,0.5647059,0.38431373
0.003921569,0.5686275,0.38039216
0.0,0.5686275,0.38431373
0.0,0.5647059,0.38039216
0.003921569,0.56078434,0.38039216
0.0,0.5568628,0.3764706
0.003921569,0.56078434,0.3764706
0.0,0.56078434,0.37254903
0.0,0.5647059,0.3764706
0.0,0.5647059,0.3764706
0.003921569,0.5647059,0.38039216
0.0,0.56078434,0.37254903
0.0,0.5647059,0.3764706
0.043137256,0.6,0.43529412
0.0,0.33333334,0.19215687
0.18039216,0.42352942,0.33333334
0.003921569,0.5529412,0.38431373
0.0,0.5568628,0.3764706
0.0,0.5647059,0.38039216
0.003921569,0.5686275,0.39215687
0.003921569,0.58431375,0.40784314
0.0,0.5803922,0.40392157
0.0,0.5686275,0.3882353
0.0,0.5647059,0.38039216
0.003921569,0.56078434,0.38039216
0.007843138,0.5764706,0.39215687
0.0,0.5803922,0.4
0.0,0.57254905,0.39215687
0.0,0.5568628,0.36862746
0.0,0.5568628,0.37254903
0.007843138,0.57254905,0.4
0.003921569,0.5882353,0.40784314
0.0,0.5647059,0.3882353
0.007843138,0.5647059,0.3764706
0.003921569,0.57254905,0.3882353
0.0,0.5686275,0.38431373
0.003921569,0.56078434,0.38039216
0.003921569,0.56078434,0.3764706
0.0,0.56078434,0.37254903
0.003921569,0.56078434,0.38039216
0.0,0.5647059,0.37254903
0.0,0.5647059,0.38039216
0.0,0.5647059,0.3764706
0.003921569,0.56078434,0.3764706
0.0,0.57254905,0.38039216
0.03137255,0.59607846,0.42745098
0.0,0.32156864,0.1882353
0.17254902,0.42352942,0.32941177
0.011764706,0.54901963,0.38431373
0.0,0.5568628,0.3764706
0.003921569,0.5686275,0.38431373
0.007843138,0.5803922,0.4
0.003921569,0.5803922,0.4
0.0,0.5803922,0.4
0.0,0.57254905,0.3882353
0.0,0.5647059,0.38039216
0.0,0.5686275,0.38431373
0.003921569,0.57254905,0.3882353
0.0,0.5803922,0.39215687
0.0,0.5764706,0.39607844
0.0,0.56078434,0.36862746
0.007843138,0.5568628,0.38039216
0.003921569,0.5764706,0.39215687
0.0,0.58431375,0.40392157
0.0,0.5803922,0.4
0.0,0.5686275,0.38431373
0.0,0.57254905,0.3882353
0.0,0.5686275,0.38431373
0.0,0.5647059,0.38039216
0.0,0.56078434,0.3764706
0.0,0.56078434,0.37254903
0.0,0.5647059,0.3764706
0.0,0.5647059,0.38039216
0.0,0.5647059,0.37254903
0.0,0.5686275,0.38431373
0.0,0.5647059,0.38039216
0.0,0.5686275,0.38431373
0.03137255,0.6039216,0.43137255
0.0,0.3254902,0.18431373
0.1882353,0.4392157,0.34509805
0.015686275,0.5529412,0.38039216
0.007843138,0.5647059,0.38431373
0.007843138,0.5803922,0.4
0.003921569,0.5803922,0.40392157
0.0,0.5803922,0.40392157
0.0,0.5764706,0.4
0.0,0.5686275,0.3882353
0.0,0.5647059,0.38039216
0.0,0.5647059,0.38039216
0.003921569,0.5764706,0.39215687
0.0,0.5803922,0.4
0.0,0.58431375,0.39215687
0.0,0.56078434,0.3764706
0.003921569,0.56078434,0.37254903
0.011764706,0.5803922,0.39607844
0.0,0.5882353,0.40784314
0.0,0.57254905,0.4
0.0,0.5647059,0.37254903
0.007843138,0.5764706,0.3882353
0.0,0.5764706,0.39215687
0.0,0.5686275,0.38431373
0.0,0.5647059,0.38039216
0.0,0.5647059,0.3764706
0.003921569,0.56078434,0.38039216
0.0,0.5647059,0.37254903
0.0,0.5686275,0.38431373
0.0,0.5647059,0.37254903
0.0,0.5647059,0.38039216
0.0,0.57254905,0.3764706
0.023529412,0.6,0.42745098
0.0,0.3019608,0.17254902
0.21176471,0.43137255,0.34901962
0.019607844,0.5568628,0.39607844
0.0,0.5803922,0.4
0.003921569,0.58431375,0.40392157
0.003921569,0.58431375,0.40392157
0.003921569,0.5764706,0.4
0.0,0.5686275,0.39215687
0.0,0.5686275,0.38431373
0.0,0.5647059,0.38039216
0.0,0.5686275,0.38431373
0.003921569,0.5764706,0.4
0.0,0.5803922,0.4
0.0,0.57254905,0.3882353
0.0,0.5686275,0.38431373
0.0,0.5686275,0.38431373
0.003921569,0.58431375,0.39607844
0.0,0.5882353,0.4117647
0.003921569,0.58431375,0.40392157
0.0,0.5686275,0.38431373
0.003921569,0.57254905,0.3882353
0.007843138,0.5803922,0.39607844
0.0,0.5686275,0.38431373
0.0,0.56078434,0.3764706
0.0,0.5647059,0.38039216
0.0,0.5686275,0.38039216
0.0,0.5686275,0.38431373
0.0,0.5647059,0.38039216
0.0,0.5647059,0.38039216
0.0,0.5647059,0.38039216
0.0,0.5686275,0.38431373
0.019607844,0.5921569,0.41960785
0.0,0.29411766,0.15294118
0.21568628,0.43529412,0.3529412
0.011764706,0.5764706,0.40392157
0.003921569,0.5803922,0.40784314
0.003921569,0.58431375,0.40392157
0.003921569,0.5803922,0.40392157
0.0,0.57254905,0.39607844
0.0,0.5686275,0.3882353
0.0,0.5647059,0.3882353
0.0,0.56078434,0.3764706
0.0,0.5686275,0.38431373
0.0,0.5803922,0.39215687
0.003921569,0.58431375,0.40392157
0.0,0.5764706,0.3882353
0.0,0.5686275,0.38431373
0.0,0.57254905,0.3882353
0.003921569,0.58431375,0.40392157
0.0,0.5882353,0.40784314
0.007843138,0.58431375,0.4117647
0.0,0.5686275,0.38431373
0.003921569,0.57254905,0.3882353
0.003921569,0.5803922,0.39607844
0.003921569,0.5764706,0.39607844
0.0,0.5647059,0.38431373
0.003921569,0.56078434,0.37254903
0.003921569,0.56078434,0.38039216
0.0,0.5686275,0.3764706
0.0,0.5686275,0.38431373
0.0,0.57254905,0.3764706
0.0,0.5647059,0.38039216
0.0,0.5686275,0.38431373
0.011764706,0.58431375,0.40784314
0.0,0.28235295,0.12941177
0.21568628,0.4509804,0.34901962
0.007843138,0.57254905,0.40392157
0.003921569,0.58431375,0.40392157
0.003921569,0.5803922,0.40784314
0.0,0.5803922,0.40392157
0.0,0.5686275,0.39215687
0.0,0.5647059,0.3882353
0.0,0.56078434,0.3764706
0.0,0.56078434,0.38039216
0.007843138,0.5764706,0.39215687
0.003921569,0.58431375,0.40392157
0.0,0.5803922,0.4
0.0,0.57254905,0.39607844
0.0,0.5686275,0.38431373
0.003921569,0.57254905,0.3882353
0.003921569,0.58431375,0.39607844
0.0,0.5882353,0.40784314
0.003921569,0.58431375,0.40392157
0.0,0.5647059,0.38039216
0.0,0.5686275,0.3764706
0.007843138,0.5803922,0.39215687
0.003921569,0.5803922,0.4
0.0,0.57254905,0.39215687
0.0,0.56078434,0.3764706
0.0,0.56078434,0.37254903
0.003921569,0.56078434,0.38039216
0.0,0.5686275,0.38431373
0.0,0.5647059,0.38039216
0.0,0.5647059,0.38039216
0.003921569,0.57254905,0.3882353
0.007843138,0.5647059,0.39215687
0.0,0.28627452,0.13725491
0.24313726,0.47843137,0.38039216
0.007843138,0.57254905,0.40392157
0.003921569,0.5803922,0.40784314
0.003921569,0.58431375,0.40392157
0.0,0.5764706,0.39607844
0.0,0.5647059,0.38431373
