r,g,b
0.003921569,0.5254902,0.41960785
0.0,0.5058824,0.40392157
0.0,0.3254902,0.24313726
0.15294118,0.21960784,0.18039216
0.019607844,0.49019608,0.37254903
0.007843138,0.47843137,0.3647059
0.003921569,0.47843137,0.36078432
0.003921569,0.48235294,0.36078432
0.003921569,0.48235294,0.36078432
0.0,0.48235294,0.36078432
0.0,0.47843137,0.3647059
0.003921569,0.4862745,0.36078432
0.0,0.47843137,0.35686275
0.0,0.47843137,0.35686275
0.0,0.47843137,0.35686275
0.003921569,0.47843137,0.35686275
0.0,0.47843137,0.35686275
0.003921569,0.48235294,0.36078432
0.003921569,0.48235294,0.36078432
0.003921569,0.49019608,0.3647059
0.003921569,0.48235294,0.36078432
0.0,0.47843137,0.35686275
0.0,0.47843137,0.35686275
0.0,0.47843137,0.35686275
0.003921569,0.47843137,0.35686275
0.0,0.47843137,0.35686275
0.003921569,0.48235294,0.36078432
0.003921569,0.48235294,0.36078432
0.0,0.47843137,0.3647059
0.003921569,0.48235294,0.36862746
0.0,0.47843137,0.3647059
0.0,0.47843137,0.35686275
0.015686275,0.50980395,0.42352942
0.007843138,0.50980395,0.4117647
0.0,0.31764707,0.25882354
0.15686275,0.20784314,0.18039216
0.019607844,0.47843137,0.38431373
0.003921569,0.47843137,0.3764706
0.007843138,0.47843137,0.37254903
0.007843138,0.48235294,0.36862746
0.0,0.48235294,0.36862746
0.007843138,0.48235294,0.3764706
0.0,0.48235294,0.36862746
0.003921569,0.47843137,0.37254903
0.0,0.48235294,0.36862746
0.007843138,0.4862745,0.37254903
0.0,0.4862745,0.36078432
0.007843138,0.4862745,0.37254903
0.0,0.48235294,0.35686275
0.0,0.47843137,0.3647059
0.0,0.48235294,0.35686275
0.003921569,0.48235294,0.36862746
0.0,0.4862745,0.36078432
0.007843138,0.4862745,0.36862746
0.0,0.48235294,0.36078432
0.0,0.48235294,0.3647059
0.0,0.47843137,0.36078432
0.0,0.47843137,0.36078432
0.0,0.47843137,0.3647059
0.0,0.47843137,0.3647059
0.007843138,0.4745098,0.3647059
0.003921569,0.48235294,0.36862746
0.0,0.4745098,0.36862746
0.0,0.47843137,0.3647059
0.18039216,0.3019608,0.2784314
0.1882353,0.29411766,0.27450982
0.09411765,0.1764706,0.16470589
0.07450981,0.15686275,0.13725491
