r,g,b
0.0,0.63529414,0.5137255
0.003921569,0.627451,0.50980395
0.003921569,0.6313726,0.5019608
0.003921569,0.627451,0.5058824
0.003921569,0.5568628,0.44313726
0.14901961,0.23921569,0.19215687
0.12941177,0.5882353,0.49019608
0.0,0.63529414,0.5137255
0.0,0.63529414,0.50980395
0.0,0.63529414,0.5058824
0.0,0.6313726,0.5019608
0.0,0.627451,0.49803922
0.003921569,0.6313726,0.5019608
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.62352943,0.49411765
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.62352943,0.49411765
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.62352943,0.49803922
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49411765
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49411765
0.0,0.62352943,0.49411765
0.0,0.62352943,0.49411765
0.0,0.61960787,0.49411765
0.003921569,0.627451,0.50980395
0.0,0.6313726,0.5019608
0.003921569,0.627451,0.50980395
0.003921569,0.63529414,0.5019608
0.003921569,0.56078434,0.45490196
0.1764706,0.23137255,0.18431373
0.13725491,0.5882353,0.49411765
0.0,0.6392157,0.5137255
0.0,0.627451,0.5019608
0.003921569,0.627451,0.5058824
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.003921569,0.62352943,0.49803922
0.0,0.627451,0.49411765
0.003921569,0.62352943,0.49803922
0.0,0.627451,0.49803922
0.0,0.61960787,0.49411765
0.0,0.627451,0.49411765
0.0,0.61960787,0.49411765
0.0,0.627451,0.49803922
0.003921569,0.62352943,0.49803922
0.0,0.62352943,0.49411765
0.0,0.61960787,0.49411765
0.003921569,0.62352943,0.49803922
0.0,0.62352943,0.49803922
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49019608
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49019608
0.0,0.6313726,0.5019608
0.003921569,0.6313726,0.5019608
0.003921569,0.6313726,0.5019608
0.003921569,0.627451,0.5058824
0.003921569,0.5686275,0.45490196
0.18039216,0.21960784,0.16862746
0.14509805,0.5882353,0.49019608
0.0,0.6392157,0.50980395
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.003921569,0.6313726,0.5019608
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49411765
0.0,0.61960787,0.49411765
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.62352943,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.003921569,0.627451,0.50980395
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.003921569,0.62352943,0.49411765
0.003921569,0.5803922,0.46666667
0.16078432,0.21960784,0.16078432
0.13725491,0.58431375,0.49019608
0.0,0.63529414,0.5137255
0.0,0.627451,0.5019608
0.003921569,0.62352943,0.49803922
0.0,0.627451,0.49803922
0.0,0.62352943,0.5058824
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.627451,0.49803922
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49019608
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49019608
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49411765
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49019608
0.0,0.61960787,0.49411765
0.0,0.61960787,0.49411765
0.0,0.62352943,0.49411765
0.0,0.61960787,0.49411765
