r,g,b
0.08235294,0.1254902,0.14117648
0.08235294,0.11764706,0.13725491
0.09019608,0.1254902,0.14509805
0.101960786,0.13725491,0.15686275
0.09803922,0.13333334,0.15294118
0.09803922,0.13333334,0.15294118
0.101960786,0.14117648,0.16078432
0.09019608,0.1254902,0.14509805
0.09803922,0.13333334,0.14901961
0.101960786,0.14117648,0.15294118
0.101960786,0.13725491,0.15686275
0.101960786,0.13725491,0.15686275
0.09019608,0.11764706,0.14901961
0.078431375,0.11372549,0.14117648
0.08235294,0.10980392,0.14117648
0.08627451,0.11372549,0.13725491
0.08627451,0.11372549,0.13725491
0.09019608,0.11764706,0.14117648
0.09019608,0.11764706,0.14117648
0.09019608,0.12156863,0.13333334
0.078431375,0.105882354,0.12941177
0.08235294,0.11372549,0.1254902
0.08627451,0.10980392,0.12156863
0.09019608,0.10980392,0.1254902
0.08235294,0.101960786,0.12156863
0.08627451,0.105882354,0.1254902
0.078431375,0.09803922,0.11372549
0.078431375,0.09803922,0.11372549
0.14509805,0.16470589,0.18039216
0.12941177,0.14509805,0.18039216
0.12941177,0.14509805,0.18039216
0.11764706,0.13333334,0.16862746
0.23921569,0.28235295,0.30588236
0.23137255,0.28627452,0.29803923
0.23921569,0.28235295,0.30588236
0.22352941,0.26666668,0.28235295
0.22745098,0.2627451,0.2901961
0.20784314,0.24705882,0.26666668
0.19607843,0.23529412,0.2509804
0.2,0.23921569,0.2509804
0.1882353,0.22745098,0.24313726
0.16862746,0.20392157,0.22352941
0.15294118,0.19607843,0.21176471
0.15294118,0.1882353,0.21568628
0.14117648,0.1764706,0.19607843
0.13333334,0.16862746,0.19607843
0.12941177,0.16470589,0.18431373
0.11764706,0.14509805,0.16862746
0.101960786,0.13725491,0.15686275
0.101960786,0.12941177,0.15294118
0.09019608,0.12941177,0.13725491
0.105882354,0.1254902,0.14901961
0.09019608,0.12156863,0.13333334
0.09411765,0.11372549,0.13725491
0.09019608,0.11764706,0.13333334
0.08627451,0.10980392,0.12156863
0.078431375,0.101960786,0.11764706
0.07450981,0.101960786,0.11764706
0.078431375,0.101960786,0.12156863
0.078431375,0.10980392,0.12156863
0.16862746,0.1882353,0.21176471
0.11764706,0.14509805,0.16862746
0.1254902,0.14117648,0.1764706
0.08627451,0.105882354,0.12941177
0.15294118,0.1882353,0.20784314
0.14117648,0.1764706,0.19607843
0.14509805,0.18431373,0.19215687
0.14117648,0.16862746,0.19215687
0.1254902,0.15294118,0.1764706
0.12941177,0.15686275,0.18039216
0.13333334,0.16470589,0.18039216
0.13333334,0.16078432,0.18039216
0.12156863,0.15294118,0.16862746
0.11372549,0.14509805,0.16078432
0.11764706,0.14509805,0.16862746
0.10980392,0.14117648,0.15294118
0.09803922,0.12941177,0.14117648
0.09803922,0.12941177,0.14117648
0.09411765,0.1254902,0.13725491
0.09019608,0.12156863,0.13333334
0.09411765,0.12156863,0.14509805
0.09019608,0.12156863,0.13333334
0.08627451,0.11764706,0.12941177
0.08235294,0.11372549,0.1254902
0.08235294,0.11372549,0.1254902
0.078431375,0.10980392,0.12156863
0.08235294,0.105882354,0.11764706
0.08235294,0.10980392,0.12156863
0.078431375,0.105882354,0.12156863
0.078431375,0.09803922,0.11372549
0.07058824,0.09019608,0.105882354
0.0627451,0.08235294,0.09803922
0.1764706,0.19607843,0.21176471
0.11372549,0.13333334,0.15686275
0.11372549,0.13333334,0.15686275
0.09019608,0.101960786,0.12941177
0.09019608,0.12156863,0.13333334
0.08235294,0.12156863,0.12941177
0.08235294,0.11372549,0.1254902
0.09019608,0.12941177,0.13333334
0.09019608,0.12156863,0.13333334
0.09019608,0.12156863,0.12941177
0.09019608,0.11372549,0.12941177
0.09411765,0.12156863,0.12941177
0.09411765,0.12156863,0.12941177
0.09411765,0.11764706,0.13333334
0.09019608,0.12156863,0.12941177
0.09411765,0.11372549,0.12941177
0.08627451,0.11764706,0.12941177
0.09803922,0.11764706,0.13333334
0.09411765,0.1254902,0.13333334
0.09411765,0.11372549,0.12941177
0.08235294,0.11372549,0.1254902
0.09019608,0.10980392,0.1254902
0.08235294,0.11372549,0.12156863
0.09019608,0.10980392,0.1254902
0.08235294,0.11372549,0.1254902
0.08627451,0.105882354,0.12156863
0.08627451,0.11372549,0.12941177
0.09411765,0.11764706,0.13333334
0.09803922,0.12156863,0.13725491
0.10980392,0.13725491,0.15294118
0.07450981,0.09803922,0.11764706
0.05490196,0.08627451,0.09803922
0.1882353,0.20784314,0.23137255
0.1254902,0.14509805,0.16078432
0.10980392,0.12941177,0.15294118
0.08627451,0.105882354,0.12156863
0.06666667,0.09803922,0.105882354
0.07058824,0.101960786,0.11372549
0.07058824,0.101960786,0.10980392
0.07058824,0.101960786,0.10980392
0.06666667,0.105882354,0.10980392
0.07058824,0.101960786,0.10980392
0.07058824,0.101960786,0.10980392
0.07058824,0.101960786,0.11372549
0.07058824,0.09803922,0.10980392
0.07450981,0.09411765,0.105882354
0.07450981,0.09411765,0.10980392
0.06666667,0.09803922,0.10980392
0.06666667,0.09803922,0.10980392
0.06666667,0.09803922,0.10980392
0.07058824,0.101960786,0.11372549
0.07450981,0.09411765,0.10980392
0.07450981,0.09411765,0.10980392
0.0627451,0.09411765,0.105882354
0.07058824,0.09019608,0.105882354
0.05882353,0.09019608,0.101960786
0.050980393,0.08235294,0.09411765
0.05882353,0.078431375,0.09411765
0.05882353,0.078431375,0.09411765
